"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","status"
526.081198931315,3.51992941825966,0.095574878513988,36.8290232013687,6.33749874318843e-297,2.28149954754783e-295,"Gene003","Up"
468.410082656633,2.95128348034379,0.0863395476877931,34.182290264199,4.43242524176515e-256,7.97836543517728e-255,"Gene005","Up"
440.745745604649,-4.35196204996911,0.132276412234941,-32.9005147360622,2.16091279668216e-237,2.5930953560186e-236,"Gene009","Down"
378.294784240878,3.84689214857654,0.124185518865794,30.9769785053106,1.10097460092491e-210,9.90877140832416e-210,"Gene002","Up"
365.482848747448,-3.12730435784542,0.101058751023646,-30.9454087465783,2.92896975180987e-210,2.10885822130311e-209,"Gene012","Down"
281.208475938107,-3.91877438627562,0.144854177610516,-27.0532369236353,3.4988215825754e-161,2.09929294954524e-160,"Gene010","Down"
285.542731374339,3.02438750246333,0.112786430657782,26.8151716906439,2.15024801439332e-158,1.1058418359737e-157,"Gene007","Up"
246.463216757944,-3.02330439884929,0.119628716530731,-25.2723968502382,6.42639097690158e-141,2.89187593960571e-140,"Gene014","Down"
239.869188090479,3.5719023426873,0.143675423145936,24.8609140274409,1.97062320875551e-136,7.88249283502203e-136,"Gene006","Up"
212.931910099707,4.25694247256989,0.187783509939449,22.669415828592,8.9777476293042e-114,3.23198914654951e-113,"Gene001","Up"
175.509243482288,3.6885275531849,0.173864923910536,21.2149033296841,6.95696087662102e-100,2.27682355962142e-99,"Gene008","Up"
168.093189436563,-3.51752567766523,0.166380331117713,-21.1414754017806,3.30580512938342e-99,9.91741538815025e-99,"Gene011","Down"
148.234465511299,-3.15283938727212,0.159814329259423,-19.7281395346858,1.23637387091435e-86,3.42380456560896e-86,"Gene015","Down"
139.235024741313,3.96679738772126,0.212355829953385,18.6799551893255,7.20796281091614e-78,1.85347615137844e-77,"Gene004","Up"
103.579891198395,-3.19450437732066,0.193327541287329,-16.5237935373775,2.47339557413336e-61,5.93614937792007e-61,"Gene013","Down"
