"gene_id","Ctrl_1","Ctrl_2","Ctrl_3","Stress_1","Stress_2","Stress_3"
"Gene001",20.3214677432548,24.4224767014478,18.7205634835335,402.54547657157,389.195472915461,422.386003182972
"Gene002",45.7233024223233,51.8977629905765,49.9215026227561,706.909129589099,678.597234826957,736.719772993556
"Gene003",83.3180177473447,78.3554460838117,91.5227548083861,932.727323763394,1007.91648114004,962.647170044913
"Gene004",16.2571741946038,19.3344607219795,14.5604382649705,255.272741240508,284.412076361298,245.573257664519
"Gene005",106.687705652088,99.7251131975785,115.443474815123,795.272770787736,868.205285734489,825.126145752783
"Gene006",34.5464951635332,39.6865246398527,37.441126967067,441.818205993187,419.13358621665,466.589189562586
"Gene007",60.9644032297644,67.1618109289814,59.2817843645228,500.727300125612,538.886039421407,486.235050175747
"Gene008",25.4018346790685,21.3696671137668,29.120876529941,324.000017728337,309.360504112289,343.802560730326
"Gene009",833.180177473447,803.90652475599,884.026608944639,41.2363658926974,37.9216101815064,44.2031863796134
"Gene010",518.197427452998,549.505725782575,514.815495797172,34.3636382439145,39.9174844015857,30.4510839504003
"Gene011",304.822016148822,290.016910829692,332.81001748504,27.4909105951316,23.9504906409514,29.4687909197422
"Gene012",650.286967784154,620.737949495131,696.820974109303,78.5454588432332,71.8514719228543,74.6542703300137
"Gene013",182.893209689293,198.432623199263,178.885384398209,19.6363647108083,23.9504906409514,17.6812745518453
"Gene014",436.911556479978,417.2173103164,462.813930565134,54.0000029547228,48.8989183919425,58.9375818394845
"Gene015",264.179080662312,249.312782993946,286.008608776207,29.4545470662124,33.9298617413479,26.521911827768
"Gene016",96.5269717804603,105.83073237294,102.963099159434,108.000005909446,101.789585224044,105.105354280414
"Gene017",208.295044368362,201.485432786944,220.486636583839,216.000011818891,207.570918888246,211.193001591486
"Gene018",48.7715225838115,52.9153661864702,46.8014087088338,49.0909117770207,53.8886039421407,48.1323585022457
"Gene019",335.304217763704,351.073102583312,330.729954875759,343.636382439145,336.30480608336,335.944216485062
"Gene020",73.1572838757173,69.1970173207687,79.0423791526971,78.5454588432332,74.8452832529732,76.6188563913298
"Gene021",142.250274202784,134.323621857963,153.924633086831,142.36364415336,150.688503615986,136.538731261472
"Gene022",18.2893209689293,16.2816511342985,20.800626092815,21.6000011818891,18.9608050907532,20.6281536438196
"Gene023",411.50972180091,396.865246398527,436.813147949116,407.454567749272,429.112957317046,392.91721226323
"Gene024",58.9322564554389,63.0913981454068,57.2017217552413,62.8363670745865,58.8782894923389,59.9198748701426
"Gene025",228.616512111617,217.767083921243,247.527450504499,225.818194174295,219.546164208721,230.838862204648
"Gene026",91.4466048446466,86.4962716509609,97.7629426362306,86.4000047275565,95.8019625638057,89.3886657898848
"Gene027",314.982750020449,330.721038665439,309.929328782944,299.454561839827,317.344000992606,306.475425565319
"Gene028",44.7072290351606,39.6865246398527,48.8814713181153,41.2363658926974,45.9051070618236,40.2740142569811
"Gene029",157.491375010225,164.851717734773,154.964664391472,157.090917686466,152.684377836065,155.202298843976
"Gene030",76.2055040372055,80.390652475599,74.8822539341341,75.6000041366119,73.8473461429336,78.583442452646
"Gene031",12.1928806459529,14.2464447425112,11.4403443510483,12.7636370620254,14.9690566505946,11.7875163678969
"Gene032",508.03669358137,529.153661864702,504.415182750764,500.727300125612,493.978869469623,515.703841095489
"Gene033",38.6107887121841,42.7393342275336,36.4010956624263,39.2727294216166,35.9257359614272,40.2740142569811
"Gene034",274.33981453394,259.488814952883,291.20876529941,260.18183241821,274.432705260902,255.3961879711
"Gene035",116.848439523715,109.901145156515,124.80375655689,109.963642380526,117.756578984678,107.06994034173
"Gene036",66.0447701655781,71.232223712556,63.4419095830858,66.7636400167482,63.8679750425372,70.7250982073814
